DOCUMENT LENGTHS used for cosine normalisation (lnc)
length = sqrt( sum of (1 + log10(tf))^2 over all terms in the doc )
==========================================================================================
docID      #terms     length   title
D081           54    7.02807   Men's Cotton Crew Neck T-Shirt - Mustard
D082           51    6.82622   Men's Checked Cotton Shirt - Blue
D083           53    6.87520   Men's Regular Fit Denim Jeans - Grey
D084           51    6.77370   Men's Regular Fit Kurta - Beige
D085           52    6.77941   Women's Printed Daily Wear Saree - Red
D086           55    7.07718   Women's Solid Midi Dress - Floral Pink
D087           52    6.94348   Women's Oversized Fleece Hoodie - Wine
D088           50    6.69172   Women's Casual Puffer Jacket - Black
D089           53    6.86038   Women's High Waist Stretch Leggings - Grey
D090           49    6.72398   Women's Fleece Sweatshirt - Maroon
D091           54    7.02807   Men's Oversized Graphic T-Shirt - Sky Blue
D092           52    6.90660   Women's Striped Casual Shirt - White
D093           55    7.07718   Men's Slim Fit Stretch Jeans - Grey
D094           51    6.78870   Women's Printed Straight Kurta - Teal
D095           50    6.75257   Women's Cotton Handloom Saree - Maroon
D096           53    6.86038   Women's Casual Fit Dress - Navy Blue
D097           50    6.76026   Unisex Fleece Pullover Hoodie - Black
D098           50    6.73749   Women's Quilted Winter Jacket - Olive
D099           55    7.07718   Women's Printed Active Leggings - Olive Green
D100           51    6.76603   Men's Regular Fit Sweatshirt - Black
